Distributor_Date,Distributor,TBL_IB_Serial_or_Order,Family,Model,Cylinders,Lean_or_Rich_Burn,Power_BHP,Branch,Branch_Address,Branch_City,Branch_State,Branch_Country,Owner,Owner_Address,Owner_City,Owner_State,Owner_Country,Owner_Post_Code,Site_Name,Site_Address,Site_City,Site_State,Site_Country,Site_Post_Code,Site_Longitude,Site_Latitude,Region,Engine_Market,Driven_Equipment,Driven_Equipment_Model,Engine_Application,Fuel_Type,LC_Model,Notes,Customer_Tag,Status,Duty,EQUIPMENT_STATUS,RPM,LOAD,Hours_per_Year,Engine_Location_Area,Contact_name,Contact_Email,Phone_Number,Distributor_Maintenance_Agreement?  Yes/No,Engine_Hrs_of_Last_Top_Overhaul,Date_Performed,Engine_Hrs_of_Last_Bottom_Overhaul,Date_Performed_Last,Current_Engine_Hours,Date_Verified,Engine_Modified_Yes_No,If_Yes_please_explain_modification,Other_Distributor_Info,Startup_Year,Special_Notes,INSTALLED_AT,MACHINE_DESCRIPTION,MANUFACTURER,OPERATING_PERCENTAJE,COMMENTS_if_any_OWNER,SpecNo,Service_File _No,CP,Cool_Sys,Date_of_Op_Hrs,Engine_Quantity,Sector,Air_Fuel_Ratio,Catalyst,Compressor,Engine_Facility_Name,Generator_Set,HP,Ignition_Type,Last_Maintenance_Date,Overhaul_Date,Packager,Permit_Number,Permit_Year,Turbocharger_Model,Driven_Equipment1,Fuel_Type1,Line ,JFE_Site_No,Area,TBL_IB_Region1,Startup,Ship_Date,Year,GGO_Region,OraclePartyNumber,Field0,Expr1,Expr2,Expr3,Expr4,Field1
,Gas Drive,174146,VHP,L7042GSI,,,1480,,,,,,ConocoPhillips Canada Limited,,,,,,,04-23-66-08-W6M,Slave Lake,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,174146
,Gas Drive,174348,VHP,L7042GSI,,,1480,,,,,,ConocoPhillips Canada Limited,,,,,,,08-11-31-21-W4M,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,174348
,Gas Drive,174355,VHP,L7042GSI,,,1480,,,,,,ConocoPhillips Canada Limited,,,,,,,08-11-31-21-W4M,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,174355
,Gas Drive,175416,VHP,F3521GSI,,,738,,,,,,Harvest Energy Trust,,,,,,,"2100, 330 - 5th Avenue SW",Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VHPF3521GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,F3521GSI,175416
,Gas Drive,175692,VHP,L7042GL,,,1480,,,,,,ConocoPhillips Canada Limited,,,,,,,08-11-32-21-W4M,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GL,175692
,Gas Drive,175746,VHP,L7042GSI,,,1480,,,,,,Santonia Energy Inc,,,,,,,04-15-40-24-W4M,Bonnyville,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,175746
,Gas Drive,176297,VHP,F2895GSI,,,607,,,,,,TransCanada PipeLines Limited,,,,,,,14-13-20-12-W4M,Medicine Hat,AB,Canada,,,,North America,,,,,Diesel  ,VHPF2895GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,F2895GSI,176297
,Gas Drive,176749,VHP,L7042G,,,1025,,,,,,Penn West Petroleum,,,,,,,16-30-72-04-W5M,Slave Lake,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,176749
,Gas Drive,176750,VHP,L7042G,,,1025,,,,,,Penn West Petroleum,,,,,,,16-03-72-04-W5M,Edmonton,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,176750
,Gas Drive,178822,VHP,L7042G,,,1025,,,,,,Canadian Natural Resources Limited,,,,,,,16-21-14-10-W4M,Bonnyville,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,178822
,Gas Drive,179415,VHP,F3521GSI,,,738,,,,,,Harvest Energy Trust,,,,,,,"2100, 330 - 5th Avenue SW",Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VHPF3521GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,F3521GSI,179415
,Gas Drive,180149,VHP,L5790GSI,,,1215,,,,,,Shell Canada Energy,,,,,,,PO Box 100,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VHPL5790GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L5790GSI,180149
,Gas Drive,180184,VHP,L7042G,,,1025,,,,,,Canadian Natural Resources Limited,,,,,,,"2500, 855 - 2nd Street SW",Grande Prairie,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,180184
,Gas Drive,180927,VHP,L7042GSI,,,1480,,,,,,EnCana Corporation,,,,,,,14-27-45-01-W5M,Edson,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,180927
,Gas Drive,183832,VHP,L7042GSI,,,1480,,,,,,Pengrowth Energy Corporation,,,,,,,13-25-37-03-W5M,Red Deer,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,183832
,Gas Drive,183840,VHP,L5790G,,,708,,,,,,City of Calgary,,,,,,,4302 - 15th Street SE,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VHPL5790G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L5790G,183840
,Gas Drive,183841,VHP,L5790G,,,708,,,,,,City of Calgary,,,,,,,4302 - 15th Street SE,Calgary,AB,Canada,,,,North America,,,,,Diesel  ,VHPL5790G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L5790G,183841
,Gas Drive,183847,VHP,F3521GSI,,,738,,,,,,Delphi Energy Corporation,,,,,,,06-18-60-22-W5M,Medicine Hat,AB,Canada,,,,North America,,,,,Diesel  ,VHPF3521GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,F3521GSI,183847
,Gas Drive,184261,VHP,L7042G,,,1025,,,,,,Bellatrix Exploration Ltd,,,,,,,"2300, 530 - 8th Avenue SW",Slave Lake,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,184261
,Gas Drive,190385,VHP,L7042G,,,1025,,,,,,Penn West Petroleum,,,,,,,08-15-71-04-W5M,Drayton Valley,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,190385
,Gas Drive,190386,VHP,L7042G,,,1025,,,,,,Chevron Canada Resources Limited,,,,,,,500 - 5th Avenue SW,Grande Prairie,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,190386
,Gas Drive,190396,VHP,L7042G,,,1025,,,,,,Chevron Canada Resources Limited,,,,,,,500 - 5th Avenue SW,Medicine Hat,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,190396
,Gas Drive,190585,VHP,L7042GSI,,,1480,,,,,,Chevron Canada Resources Limited,,,,,,,500 - 5th Avenue SW,Red Deer,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,190585
,Gas Drive,191541,VHP,L5790G,,,845,,,,,,Keyera Partnership,,,,,,,10-35-37-09-W5M,London,Ontario,Canada,,,,North America,,,,,Diesel  ,VHPL5790G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L5790G,191541
,Gas Drive,193850,VHP,L7042G,,,1025,,,,,,Chevron Canada Resources Limited,,,,,,,500 - 5th Avenue SW,Edmonton,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,193850
,Gas Drive,193851,VHP,L7042G,,,1025,,,,,,SemCAMS,,,,,,,03-15-59-18-W5M,Fort Nelson,British Columbia,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,193851
,Gas Drive,193852,VHP,L7042G,,,1025,,,,,,SemCAMS,,,,,,,03-15-58-19-W5M,Edmonton,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,193852
,Gas Drive,197263,VHP,L7042G,,,1025,,,,,,Altagas Processing Partnership,,,,,,,04-05-45-12-W4M,Edmonton,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,197263
,Gas Drive,197428,VHP,L7042GSI,,,1480,,,,,,Canadian Natural Resources Limited,,,,,,,13-09-93-18-W4M,Red Deer,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,197428
,Gas Drive,197429,VHP,L7042GSI,,,1480,,,,,,Canadian Natural Resources Limited,,,,,,,13-09-93-18-W4M,Slave Lake,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,197429
,Gas Drive,199775,VHP,L5790G,,,845,,,,,,Canadian Natural Resources Limited,,,,,,,11-19-60-19-W5M,Slave Lake,AB,Canada,,,,North America,,,,,Diesel  ,VHPL5790G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L5790G,199775
,Gas Drive,200507,VHP,L7042GSI,,,1480,,,,,,Perpetual Energy Operating Corp,,,,,,,14-22-74-24-W4M,London,Ontario,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,200507
,Gas Drive,202821,VHP,L7042GSI,,,1480,,,,,,BP Canada Energy Company,,,,,,,8241 - 31st Street SE,Edmonton,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,202821
,Gas Drive,202823,VHP,L7042G,,,1025,,,,,,ATCO Energy Solutions Ltd,,,,,,,08-18-46-26-W4M,Edson,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,202823
,Gas Drive,203884,VHP,L7042GSI,,,1480,,,,,,SemCAMS,,,,,,,11-22-60-19-W5M,Edmonton,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,203884
,Gas Drive,204910,VHP,L7042G,,,1025,,,,,,Signalta Resources Limited,,,,,,,"1000, 605 - 5th Avenue SW",London,Ontario,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,204910
,Gas Drive,204911,VHP,L7042GSI,,,1480,,,,,,Signalta Resources Limited,,,,,,,04-05-50-11-W4M,Edmonton,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,204911
,Gas Drive,206981,VHP,L7042GSI,,,1480,,,,,,Penn West Petroleum,,,,,,,05-35-48-04-W5M,Fort Nelson,British Columbia,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,206981
,Gas Drive,167955,VHP,L7042GSI,,,1480,,,,,,BP Canada Energy Company,,,,,,,4700 - 47th Street SE,Edson,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,167955
,Gas Drive,168374,VHP,L7042G,,,1025,,,,,,Suncor Energy Resources Partnership,,,,,,,04-21-15-10-W4M,Grande Prairie,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,168374
,Gas Drive,168375,VHP,L7042G,,,1025,,,,,,Suncor Energy Resources Partnership,,,,,,,04-21-15-10-W4M,Medicine Hat,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,168375
,Gas Drive,168383,VHP,L7042GSI,,,1480,,,,,,BP Canada Energy Company,,,,,,,4700 - 47th Street SE,Ft. St. John,British Columbia,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,168383
,Gas Drive,168384,VHP,L7042GSI,,,1480,,,,,,BP Canada Energy Company,,,,,,,4700 - 47th Street SE,Edmonton,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,168384
,Gas Drive,168385,VHP,L7042GSI,,,1480,,,,,,BP Canada Energy Company,,,,,,,4700 - 47th Street SE,Edmonton,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,168385
,Gas Drive,168386,VHP,L7042GSI,,,1480,,,,,,BP Canada Energy Company,,,,,,,4700 - 47th Street SE,Manning,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,168386
,Gas Drive,168678,VHP,L7042G,,,1025,,,,,,Mazeppa Processing Partnership,,,,,,,PO Box 5637,Grande Prairie,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,168678
,Gas Drive,242522,VHP,L7042G,,,1025,,,,,,Crescent Point Energy Corp,,,,,,,13-36-61-07-W4M,Medicine Hat,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,242522
,Gas Drive,242523,VHP,L7042G,,,1025,,,,,,Apache Canada Limited,,,,,,,06-24-36-09-W5M,Red Deer,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042G,242523
,Gas Drive,242528,VHP,F3521G,,,515,,,,,,EnCana Corporation,,,,,,,01-34-15-12-W4M,Grande Prairie,AB,Canada,,,,North America,,,,,Diesel  ,VHPF3521G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,F3521G,242528
,Gas Drive,242846,VHP,F3521GSI,,,738,,,,,,City of Medicine Hat,,,,,,,14-10-18-28-W3M,Medicine Hat,AB,Canada,,,,North America,,,,,Diesel  ,VHPF3521GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,F3521GSI,242846
,Gas Drive,243170,VHP,L7042GSI,,,1480,,,,,,Canadian Natural Resources Limited,,,,,,,04-14-22-14-W4M,Grande Prairie,AB,Canada,,,,North America,,,,,Diesel  ,VHPL7042GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,L7042GSI,243170
,Gas Drive,243450,VHP,F2895GSI,,,607,,,,,,ConocoPhillips Canada Limited,,,,,,,13-32-27-27-W3M,PM dummy service office,,Canada,,,,North America,,,,,Diesel  ,VHPF2895GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,F2895GSI,243450
,Gas Drive,243451,VHP,F3521GSI,,,738,,,,,,Canadian Natural Resources Limited,,,,,,,06-14-63-24-W5M,Edmonton,AB,Canada,,,,North America,,,,,Diesel  ,VHPF3521GSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,F3521GSI,243451
,Gas Drive,243823,VHP,P9390G,,,1366,,,,,,ConocoPhillips Canada Limited,,,,,,,PO Box 4365,Edson,AB,Canada,,,,North America,,,,,Diesel  ,VHPP9390G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada,,,,,,Canada,Canada,Gas Drive,VHP,P9390G,243823
